"","ID","Reason.for.absence","Month.of.absence","Year","Day.of.the.week","Seasons","Transportation.expense","Distance.from.Residence.to.Work","Service.time","Age","Work.load.Average.day.","Hit.target","Disciplinary.failure","Education","Son","Social.drinker","Social.smoker","Pet","Weight","Height","Body.mass.index","Absenteeism.time.in.hours"
"71","33","23","10",2007,"4","4",248,25,14,47,253465,93,"0","1","2","0","0","1",86,165,32,2
"72","15","23","10",2007,"5","4",291,31,12,40,253465,93,"0","1","1","1","0","1",73,171,25,5
"73","3","23","10",2007,"4","4",179,51,18,38,253465,93,"0","1","0","1","0","0",89,170,31,8
"74","28","23","10",2007,"4","4",225,26,9,28,253465,93,"0","1","1","0","0","2",69,169,24,3
"75","20","19","10",2007,"5","4",260,50,11,36,253465,93,"0","1","4","1","0","0",65,168,23,16
"76","15","14","10",2007,"3","4",291,31,12,40,253465,93,"0","1","1","1","0","1",73,171,25,8
"77","28","28","10",2007,"3","4",225,26,9,28,253465,93,"0","1","1","0","0","2",69,169,24,2
"78","11","26","10",2007,"4","4",289,36,13,33,266060.743567775,93,"0","1","2","1","0","1",90,172,28.7220801680693,8
"79","10","23","10",2007,"6","4",361,52,3,28,253465,93,"0","1","1","0","0","4",80,172,27,1
"80","20","28","10",2007,"6","4",260,50,11,36,253465,93,"0","1","0","1","0","0",65,168,23,3
"81","3","23","11",2007,"5","4",179,51,18,38,306345,93,"0","1","0","1","0","0",89,170,31,1
"82","28","23","11",2007,"4","4",225,26,9,28,306345,93,"0","1","1","0","0","2",69,169,24,1
"83","3","13","11",2007,"5","4",179,51,18,38,306345,95.2296578073149,"0","1","0","1","0","0",89,170,31,8
"84","17","21","11",2007,"5","4",179,22,17,40,306345,93,"0","2","2","0","1","0",63,170,22,8
"85","15","23","11",2007,"5","4",291,31,12,40,289097.319804913,93,"0","1","1","1","0","1",73,171,25,5
"86","14","10","11",2007,"2","4",155,12,14,34,306345,93,"0","1","1","1","0","0",95,172,25,5.05928276564733
"87","6","22","11",2007,"2","4",189,29,13,33,306345,93,"0","1","2","0","0","2",69,167,25,8
"88","15","14","11",2007,"2","4",291,31,12,40,306345,93,"0","1","1","1","0","1",73,171,25,3.29999129957673
"89","28","23","11",2007,"4","4",225,26,9,28,306345,93,"0","1","1","0","0","2",69,169,24,1
"90","14","6","11",2007,"6","4",155,12,14,34,306345,93,"0","1","2","1","0","0",95,170.00079191016,28.3902265166395,8
"91","28","23","11",2007,"4","4",225,26,9,28,306345,93,"0","1","1","0","0","2",69,169,24,3
"92","17","21","11",2007,"4","4",179,22,17,40,306345,93.4465669542099,"0","2","2","0","1","0",63,170,22,8
"93","28","13","11",2007,"6","4",225,26,9,28,306345,93,"0","1","1","0","0","2",69,169,24,3
"94","20","28","11",2007,"6","4",260,50,11,36,260075.437014237,93,"0","1","4","1","0","0",65,168,23,4
"95","33","28","11",2007,"2","4",248,25,14,47,306345,93,"0","1","2","0","0","1",86,165,32,1
"96","28","28","11",2007,"3","4",225,26,9,28,306345,93,"0","1","1","0","0","2",69,169,24,3
"97","11","7","11",2007,"4","4",289,36,13,33,306345,93,"0","1","2","1","0","1",90,172,30,8
"98","15","23","11",2007,"5","4",291,31,12,40,306345,93,"0","1","1","1","0","1",73,171,25,3
"99","33","23","12",2007,"3","4",248,25,14,47,261306,97,"0","1","2","0","0","1",86,165,32,1
"100","34","19","12",2007,"3","4",118,10,10,37,261306,97,"0","1","0","0","0","0",83,172,28,3.98690514780599
"101","36","23","12",2007,"4","4",118,13,18,50,261306,97,"0","1","1","1","0","0",98,167.631032269253,31,2
"102","1","26","12",2007,"4","4",235,11,14,37,261306,97,"0","3","1","0","0","1",88,172,29,8
"103","28","23","12",2007,"5","4",225,26,9,28,261306,97,"0","1","1","0","0","2",69,169,24,2
"104","20","26","12",2007,"6","4",260,50,11,36,261306,97,"0","1","4","1","0","0",65,168,23,8
"105","34","19","12",2007,"3","4",118,10,10,37,249377.789871704,97,"0","1","0","0","0","0",83,172,28,4.16291563462129
"106","10","22","12",2007,"4","4",361,52,3,28,267409.335732037,97,"0","1","1","1","0","4",80,172,27,8
"107","28","28","12",2007,"5","4",225,26,9.08920008493305,28,261306,97,"0","1","1","0","0","2",69,169,24.3568003397322,3
"108","20","28","12",2007,"6","4",260,50,11,36,261306,97,"0","1","4","1","0","0",65,168,23,3
"109","28","23","12",2007,"3","4",225,26,9,28,261306,97,"0","1","1","0","0","2",69,169,24,2
"110","10","22","12",2007,"4","4",361,52,3,28,261306,97,"0","1","1","1","0","4",80,171.523972640058,27,8
"111","34","27","12",2007,"6","4",118,10,10,37,261306,97,"0","1","0","0","0","0",83,172,28,2
"112","24","19","12",2007,"6","2",246,25,16,41,261306,97,"0","1","0","1","0","0",67,170,23,8
"113","28","23","12",2007,"6","2",225,26,9,28,261306,96.2857895252309,"0","1","1","0","0","2",69,169,24,2
"114","28","23","1",2008,"4","2",225,26,9,28,320135.773819091,95,"0","1","1","0","0","2",69,169,24,1
"115","34","19","1",2008,"2","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,1
"116","34","27","1",2008,"3","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,1
"117","14","18","1",2008,"3","2",155,12,14,34,308593,98.5296666144266,"0","1","2","1","0","0",95,172,25,8
"118","28","27","1",2008,"4","2",225,26,9,28,308593,95,"0","1","1","0","0","2",69,169,24,2
"119","27","23","1",2008,"5","2",184,42,7,27,308593,95,"0","1","0","0","0","0",65.0900746655433,167,21,2
"120","28","28","1",2008,"5","2",225,26,9,28,308593,95,"0","1","1","0","0","2",69,169,24,2
"121","28","27","1",2008,"6","2",225,26,9,28,308593,95,"0","1","1","0","0","2",69,169,24,1
"122","34","27","1",2008,"2","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"123","28","27","1",2008,"3","2",225,26,9,28,308593,95,"0","1","1","0","0","2",69,169,24,2
"124","34","27","1",2008,"3","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"125","34","27","1",2008,"4","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"126","34","27","1",2008,"5","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"127","34","27","1",2008,"6","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"128","34","27","1",2008,"2","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"129","34","27","1",2008,"3","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"130","22","18","1",2008,"3","2",179,26,9,30,308593,95,"0","3","0","0","0","0",56,171,19,8
"131","11","18","1",2008,"3","2",289,36,13,33,308593,95,"0","1","2","1","0","1",90,172,30,8
"132","34","27","1",2008,"4","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"133","27","23","1",2008,"5","2",184,42,7,27,286629.639254445,95,"0","1","0","0","0","0",58,167.659681995374,21,2
"134","34","27","1",2008,"5","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,2
"135","34","27","1",2008,"2","2",118,10,10,37,308593,95,"0","1","0","0","0","0",83,172,28,0
"136","28","23","1",2008,"3","2",225,26,9,28,308593,95,"0","1","1","0","0","2",69,169,24,1
"137","11","22","1",2008,"5","2",289,36,13,33,308593,95,"0","1","2","1","0","1",90,172,30,3
"138","27","23","2",2008,"6","2",184,42,7,27,302585,99,"0","1","0","0","0","0",58,167,21,1
"139","24","1","2",2008,"4","2",246,25,16,41,302585,99,"0","1","0","1","0","0",67,170,23,8
"140","3","11","2",2008,"4","2",179,51,18,38,302585,99,"0","1","0","1","0","0",89,170,31,8
"141","14","28","2",2008,"5","2",155,12,14,34,302585,99,"0","1","2","1","0","0",95,172,25,2
"142","6","23","2",2008,"5","2",189,29,13,33,302585,99,"0","1","2","0","0","2",69,167,25,8
"143","20","28","2",2008,"6","2",260,50,11,36,302585,99,"0","1","4","1","0","0",65,168,23,2
"144","11","22","2",2008,"6","2",289,36,13,33,302585,99,"0","1","2","1","0","1",90,172,30,8
"145","31","11","2",2008,"2","2",118,15,9,50,302585,99,"0","1","0","0","0","0",76,172,24,8
"146","31","1","2",2008,"3","2",118,15,9,50,302585,99,"0","1","0","0","0","0",76,172,24,8
"147","28","28","2",2008,"2","2",225,26,9,28,302585,99,"0","1","1","0","0","2",69,169,24,2
"148","28","23","2",2008,"3","2",225,26,9,28,302585,99,"0","1","1","0","0","2",69,169,24,2
"149","22","23","2",2008,"3","2",179,26,9,30,302585,99,"0","3","0","0","0","0",56,171,19,1
"150","27","23","2",2008,"3","2",184,42,7,27,302585,99,"0","1","0","0","0","0",58,167,21,8
"151","28","25","2",2008,"5","2",225,26,9,28,302585,99,"0","1","1","0","0","2",69,169,24,3
"152","18","18","2",2008,"2","2",330,16,4,28,302585,99,"0","2","0","0","0","0",84,169,25,8
"153","18","23","2",2008,"3","2",330,16,4,28,302585,99,"0","2","0","0","0","0",84,169,25,1
"154","28","23","2",2008,"4","2",225,26,9,28,302585,99,"0","1","1","0","0","2",69,169,24,1
"155","6","19","2",2008,"5","2",189,29,13,33,302585,99,"0","1","2","0","0","2",69,167,25,8
"156","19","28","3",2008,"3","2",291,50,12,32,343253,95,"0","1","0","1","0","0",65,169,23,2
"157","20","19","3",2008,"3","2",260,50,11,36,343253,95,"0","1","4","1","0","0",65,168,23,8
"158","30","19","3",2008,"3","2",157,27,6,29,343253,95,"0","1","0","1","1","0",75,169,22,3
"159","17","17","3",2008,"3","2",179,22,17,40,343253,95,"0","2","2","0","1","0",63,170,22,8
"160","15","22","3",2008,"4","2",291,31,12,40,343253,95,"0","1","1","1","0","1",73,171,25,8
"161","20","13","3",2008,"4","2",260,50,11,36,343253,95,"0","1","4","1","0","0",65,168,23,8
"162","22","13","3",2008,"5","2",179,26,9,30,343253,95,"0","3","0","0","0","0",56,171,19,8
"163","33","14","3",2008,"6","2",248,25,14,47,343253,95,"0","1","2","0","0","1",86,165,32,3
"164","20","13","3",2008,"6","2",260,50,11,36,343253,95,"0","1","4","1","0","0",65,168,23,4.81689689286413
"165","17","11","3",2008,"2","2",179,22,17,40,343253,95,"0","2","2","0","1","0",63,170,22,8
"166","14","1","3",2008,"2","2",155,12,14,34,343253,95,"0","1","2","1","0","0",95,168.690815949508,25,16
"167","20","26","3",2008,"2","2",260,50,11,36,343253,95,"0","1","4","1","0","0",65,168,23,16
"168","14","13","3",2008,"3","2",155,12,14,34,343253,95,"0","1","2","1","0","0",95,170.093904883966,25,8
"169","11","6","3",2008,"5","2",289,36,13,33,343253,95,"0","1","2","1","0","1",90,172,30,8
"170","17","8","3",2008,"5","2",179,22,17,40,343253,95,"0","2","2","0","1","0",63,170,22,8
"171","20","28","3",2008,"6","2",260,50,11,36,343253,95,"0","1","4","1","0","0",65,168,23,4
"172","28","23","3",2008,"6","2",225,26,9,28,343253,95,"0","1","1","0","0","2",69,169,24,1
"173","7","14","3",2008,"2","2",279,5,14,39,343253,95,"0","1","2","1","1","0",68,168,24,8
"174","3","13","3",2008,"3","2",179,51,18,38,343253,95,"0","1","0","1","0","0",89,170,31,3.83799665633533
"175","28","23","3",2008,"4","2",225,26,9,28,343253,95,"0","1","1","0","0","2",69,169,24,2
"176","28","11","3",2008,"2","3",225,26,9,28,343253,95,"0","1","1","0","0","2",69,169,24,8
"177","22","13","3",2008,"2","3",179,26,9,30,343253,95,"0","3","0","0","0","0",56,171,19,1
"178","28","11","3",2008,"3","3",225,26,9,28,343253,95,"0","1","1","0","0","2",69,169,24,8
"179","28","11","3",2008,"4","3",225,26,9,28,343253,95,"0","1","1","0","0","2",69,169,24,16
"180","3","13","3",2008,"4","3",179,51,18,38,343253,95,"0","1","0","1","0","0",89,170,31,3
"181","7","14","3",2008,"5","3",279,5,14,39,343253,95,"0","1","2","1","1","0",68,168,24,16
"182","28","28","3",2008,"6","3",225,26,9,28,343253,95,"0","1","1","0","0","2",69,169,24,2
"183","33","14","3",2008,"6","3",248,25,14,47,343253,95,"0","1","2","0","0","1",86,165,32,3
"184","28","28","3",2008,"2","3",225,26,9,28,343253,95,"0","1","1","0","0","2",69,169,24,1
"185","15","28","4",2008,"4","3",291,31,12,40,326452,96,"0","1","1","1","0","1",73,171,25,1
"186","28","23","4",2008,"4","3",225,26,9,28,326452,96,"0","1","1","0","0","2",69,169,24,1
"187","14","28","4",2008,"3","3",155,12,14,34,326452,96,"0","1","2","1","0","0",95,170.312240023437,25,1
"188","24","13","4",2008,"4","3",246,25,16,41,326452,96,"0","1","0","1","0","0",67,170,23,8
"189","14","23","4",2008,"5","3",155,12,14,34,326452,96,"0","1","2","1","0","0",95,169.651498688852,25,1
"190","28","28","4",2008,"6","3",225,26,9,28,326452,96,"0","1","1","0","0","2",69,169,24,2
"191","20","28","4",2008,"6","3",260,50,11,36,326452,96,"0","1","4","1","0","0",65,168,23,4
"192","3","13","4",2008,"4","3",179,51,18,38,326452,96,"0","1","0","1","0","0",89,170,31,4.16550165489461
"193","36","23","4",2008,"5","3",118,13,18,50,326452,96,"0","1","1","1","0","0",98,169.19569646383,31,1
"194","15","23","4",2008,"6","3",291,31,12,40,326452,96,"0","1","1","1","0","1",73,171,25,3
"195","24","14","4",2008,"6","3",246,25,16,41,326452,96,"0","1","0","1","0","0",67,170,23,8
"196","15","28","4",2008,"6","3",291,31,12,40,326452,96,"0","1","1","1","0","1",73,171,25,1
"197","33","28","4",2008,"6","3",248,25,14,47,326452,96,"0","1","2","0","0","1",86,165,32,8
"198","20","19","4",2008,"6","3",260,50,11,36,326452,96,"0","1","4","1","0","0",65,168,23,3.82535754645896
"199","11","19","4",2008,"3","3",289,36,13,33,326452,96,"0","1","2","1","0","1",90,172,30,8
"200","14","12","4",2008,"4","3",155,12,14,34,326452,96,"0","1","2","1","0","0",95,170.653396272805,25,1.67285486999682
"201","23","19","4",2008,"4","3",378,49,11,36,326452,96,"0","1","2","0","1","4",65,174,21,8
"202","11","13","4",2008,"5","3",289,36,13,33,326452,96,"0","1","2","1","0","1",90,172,30,16
"203","1","7","4",2008,"6","3",235,11,14,37,326452,96,"0","3","1","0","0","1",88,172,29,3
"204","2","0","4",2008,"2","3",235,29,12,48,326452,96,"1","1","1","0","1","5",88,165,33,0
"205","11","13","5",2008,"4","3",289,36,13,33,285471.031995205,92,"0","1","2","1","0","1",90,172,30,8
"206","14","28","5",2008,"5","3",155,12,14,34,280454.757018004,92,"0","1","2","1","0","0",95,171.159054564572,25,2
"207","14","28","5",2008,"2","3",155,12,14,34,256813.489082747,92,"0","1","2","1","0","0",95,172,25,1
"208","3","18","5",2008,"3","3",179,51,18,38,248317.210513191,92,"0","1","0","1","0","0",89,170,31,8
"209","28","19","5",2008,"3","3",225,26,9,28,260280.156687017,92,"0","1","1","0","0","2",69,169,24,8
"210","27","7","5",2008,"4","3",184,42,7,27,252426.501325323,92,"0","1","0","0","0","0",58,167,21,4
"211","14","28","5",2008,"2","3",155,12,14,34,256978.164525234,92,"0","1","2","1","0","0",95,172,25,2
"212","3","12","5",2008,"3","3",179,51,18,38,247265.172173563,92,"0","1","0","1","0","0",89,170,31,1
"213","11","13","5",2008,"4","3",289,36,13,33,288703.828351084,92,"0","1","2","1","0","1",90,172,30,10.8944628425354
"214","7","0","5",2008,"4","3",279,5,14,39,236294.218771673,92,"1","1","2","1","1","0",68,168,24,0
"215","18","0","5",2008,"4","3",330,16,4,28,313312.196578798,92,"1","2","0","0","0","0",84,169,25,0
"216","23","0","5",2008,"4","3",378,49,11,36,305673.378198263,92,"1","1","2","0","1","4",65,174,21,6.78482181549618
"217","31","0","5",2008,"4","3",118,15,9,50,254952.108519104,92,"1","1","0","0","0","0",76,172,24,0
"218","3","11","5",2008,"3","3",179,51,18,38,247265.172173563,92,"0","1","0","1","0","0",89,170,31,1
"219","36","13","5",2008,"4","3",118,13,18,50,257892.012864556,92,"0","1","1","1","0","0",98,172,31,4.33281371103618
"220","10","22","5",2008,"6","3",361,52,3,28,242688.440047372,92,"0","1","1","1","0","4",80,172,27,5.16647928915778
"221","24","19","6",2008,"2","3",246,25,16,31.2955526618523,265819.872558001,94,"0","1","0","1","0","0",67,170,23.7464959490883,8
"222","10","22","6",2008,"2","3",361,52,3,28,257460.005662979,94,"0","1","1","1","0","4",80,172,27,8
"223","24","10","6",2008,"3","3",246,25,16,41,268410.779275664,94,"0","1","0","1","0","0",67,170,23,5.40303572449027
"224","15","23","6",2008,"5","3",291,31,12,40,282969.106601638,94,"0","1","1","1","0","1",73,171,25,4
"225","24","10","6",2008,"6","3",246,25,16,41,277190.983701414,94,"0","1","0","1","0","0",67,170,23,12.7457600501982
"226","3","11","6",2008,"2","3",179,51,18,38,253824.384767473,94,"0","1","0","1","0","0",89,170,31,8
"227","14","23","6",2008,"2","3",155,12,14,34,253821.885001571,94,"0","1","2","1","0","0",95,172,25,4
"228","24","10","6",2008,"2","3",246,25,16,41,275256.499444222,94,"0","1","0","1","0","0",67,170,23,8
"229","36","13","6",2008,"4","3",118,13,18,50,251626.198756223,94,"0","1","1","1","0","0",98,172,31,8
"230","1","13","6",2008,"6","3",235,11,14,37,258538.794787871,94,"0","3","1","0","0","1",88,172,29,16
"231","36","23","6",2008,"3","3",118,13,18,50,253808.065675035,94,"0","1","1","1","0","0",98,172,31,1
"232","36","13","6",2008,"4","3",118,13,18,50,263261.3298593,94,"0","1","1","1","0","0",98,172,31,2.31947293844597
"233","23","22","6",2008,"5","3",378,49,11,36,285130.598168121,94,"0","1","2","0","1","4",65,174,21,8
"234","3","11","6",2008,"6","3",179,51,18,38,241313.351645378,94,"0","1","0","1","0","0",89,170,31,2
"235","32","28","6",2008,"2","1",289,48,11.8556031459794,49,277161.38669621,94,"0","1","0","0","0","2",108,172,36,2
"236","28","28","6",2008,"5","1",225,26,9,28,277621.56942741,94,"0","1","1","0","0","2",69,169,24,2
"237","14","19","7",2008,"3","1",155,12,14,34,275312,98,"0","1","2","1","0","0",95,172,25,16
"238","36","1","7",2008,"4","1",118,13,18,50,275312,98,"0","1","1","1","0","0",98,172,31,8
"239","34","5","7",2008,"6","1",118,10,10,37,275312,98,"0","1","0","0","0","0",83,172,28,8
"240","34","26","7",2008,"6","1",118,10,10,37,275312,98,"0","1","0","0","0","0",83,172,28,4
"241","18","26","7",2008,"3","1",330,16,4,28,275312,98,"0","2","0","0","0","0",84,169.905751953725,25,8
"242","22","18","7",2008,"5","1",179,26,9,30,275312,98,"0","3","0","0","0","0",56,171,19,8
"243","14","25","7",2008,"6","1",155,12,14,34,275312,98,"0","1","2","1","0","0",95,171.466601270688,25,2
"244","18","1","7",2008,"2","1",330,16,4,28,275312,98,"0","2","0","0","0","0",84,169,25,8
"245","18","1","7",2008,"3","1",330,16,4,28,275312,98,"0","2","0","0","0","0",84,169,25,8
"246","30","25","7",2008,"2","1",157,27,6,29,275312,98,"0","1","0","1","1","0",75,172,22,3
"247","10","22","7",2008,"3","1",361,52,3,28,275312,98,"0","1","1","1","0","4",80,172,27,8
"248","11","26","7",2008,"4","1",289,36,13,33,275312,98,"0","1","2","1","0","1",90,172,30,8
"249","3","26","7",2008,"5","1",179,51,18,38,275312,98,"0","1","0","1","0","0",89,170,31,8
"250","11","19","7",2008,"2","1",289,36,13,33,275312,98,"0","1","2","1","0","1",90,172,30,8
"251","11","19","7",2008,"5","1",289,36,13,33,275312,98,"0","1","2","1","0","1",90,172,30,8
"252","20","0","7",2008,"5","1",260,50,11,36,275312,98,"1","1","4","1","0","0",65,168,23,0
"253","11","19","8",2008,"6","1",289,36,13,33,265615,94,"0","1","2","1","0","1",90,172,30,8
"254","30","19","8",2008,"6","1",157,27,6,29,265615,94,"0","1","0","1","1","0",75,170.066086738989,22,3
"255","11","23","8",2008,"2","1",289,36,13,33,265615,94,"0","1","2","1","0","1",90,172,30,1
"256","9","18","8",2008,"3","1",228,14,16,40.2509245861792,265615,94,"0","1","2","0","0","1",65,172,22,8
"257","26","13","8",2008,"5","1",300,26,13,43,265615,94,"0","1","2","1","1","1",77,175,25,1
"258","26","14","8",2008,"5","1",300,26,13,43,265615,94,"0","1","2","1","1","1",77,175,25,2
